item_code,description,unit,labor,material,equipment,sub,source,quote_date,valid_until,location,notes
31-earthwork-cut-fill,Building pad cut/fill (bank measure),BCY,0,0,0,9.50,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN] sub rate incl. equipment
31-select-fill-import,Imported select fill placed and compacted,CY,0,0,0,32.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
31-rock-excavation,Rock excavation (unit price basis),CY,0,0,0,95.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
32-asphalt-paving,Asphalt paving 3in over 8in base,SF,0,0,0,6.25,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
32-concrete-curb,Concrete curb and gutter,LF,0,0,0,28.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
33-sanitary-pvc-4in,4in PVC sanitary sewer to 5ft outside,LF,14.00,9.50,4.00,0,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
33-water-service-2in,2in domestic water service,LF,12.00,11.00,3.00,0,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
03-footing-spread,Spread footing concrete (excavate form pour),CY,165.00,190.00,25.00,0,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN] self-perform
03-footing-continuous,Continuous wall footing concrete,CY,150.00,190.00,22.00,0,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN] self-perform
03-forms-footing,Footing formwork,SFCA,6.50,2.40,0.30,0,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
03-rebar,Reinforcing steel placed,LB,0.55,0.85,0.05,0,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
03-sog-4in,4in slab on grade with WWM and vapor barrier,SF,2.10,2.45,0.30,0,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN] self-perform
03-sog-6in,6in slab on grade with #4 @ 18in EW and vapor barrier,SF,2.60,3.75,0.35,0,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN] self-perform
03-slab-sawcut-joints,Slab control joints saw cut and sealed,LF,1.10,0.60,0.25,0,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
03-concrete-sealer,Concrete floor sealer (warehouse),SF,0,0,0,0.65,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
04-cmu-8in-grouted,8in CMU grouted solid with reinforcing,SF,0,0,0,24.50,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN] mason sub
04-brick-veneer,Modular brick veneer with ties and flashing,SF,0,0,0,32.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN] mason sub
05-structural-steel,Structural steel furnished and erected (beams columns),TON,0,0,0,5800.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN] fabricator/erector
05-steel-joists,Steel joists furnished and erected,TON,0,0,0,4900.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
05-metal-deck,1-1/2in Type B 22 ga roof deck,SF,0,0,0,4.10,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
05-misc-metals,Miscellaneous metals (lintels bollards frames),LS,0,0,0,18000.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN] allowance-type line
06-rough-carpentry-blocking,Rough carpentry and blocking,SF,0.55,0.35,0.02,0,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN] per SF of building; self-perform
07-tpo-roof-system,60-mil TPO mechanically fastened over R-30 polyiso and cover board,SQ,0,0,0,1150.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN] roofing sub
07-tapered-insulation-crickets,Tapered polyiso crickets,SF,0,0,0,2.40,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
07-coping-aluminum,Prefinished aluminum coping,LF,0,0,0,38.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
07-roof-drain,Roof drain or overflow drain with leader connection,EA,0,0,0,1450.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
07-sealants-joints,Exterior sealants and expansion joints,LF,0,0,0,6.50,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
08-hm-door-single,HM door and frame single 3070 with hardware set,EA,0,0,0,1650.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN] incl. HW-2 type set
08-hm-door-single-rated,HM door and frame single 3070 90-min rated with closer,EA,0,0,0,2250.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
08-hm-door-single-exterior,HM insulated exterior door and frame with hardware,EA,0,0,0,2600.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
08-storefront-entrance-pair,Aluminum storefront entrance pair 6070 with panic hardware and closers,EA,0,0,0,9800.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN] glazing sub
08-overhead-door-12x14,Insulated sectional overhead door 12x14 with motor operator,EA,0,0,0,9500.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
08-window-fixed-aluminum,Fixed aluminum window 4x5 with 1in IGU,EA,0,0,0,1350.00,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN] glazing sub
09-partition-p1,Partition type P1 3-5/8 stud 5/8 GWB each side to deck with batt (per SF of wall one side),SF,0,0,0,13.50,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN] drywall sub; both faces included
09-partition-p2-rated,Partition type P2 1-hr rated (per SF of wall one side),SF,0,0,0,16.50,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
09-act-ceiling-2x2,2x2 acoustical ceiling and grid,SF,0,0,0,5.25,seed-placeholder-2026,2026-09-01,,national,[UNCERTAIN]
